Time / s	
178.8	0.171499
179.2	0.171485
179.6	0.171478
180	0.17145
180.4	0.171458
180.8	0.171472
181.2	0.171434
181.6	0.171444
182	0.17143
182.4	0.171445
182.8	0.171389
183.2	0.171429
183.6	0.171404
184	0.171429
184.4	0.171412
184.8	0.171424
185.2	0.171405
185.6	0.17136
186	0.171305
186.4	0.171278
186.8	0.171336
187.2	0.171358
187.6	0.17135
188	0.171306
188.4	0.171036
188.8	0.171361
189.2	0.171322
189.6	0.171318
190	0.171299
190.4	0.171295
190.8	0.171317
191.2	0.171317
191.6	0.171174
192	0.171218
192.4	0.171017
192.8	0.171292
193.2	0.171219
193.6	0.171079
194	0.170959
194.4	0.171192
194.8	0.171166
195.2	0.171108
195.6	0.17111
196	0.171119
196.4	0.171095
196.8	0.171057
197.2	0.171091
197.6	0.171198
198	0.170922
198.4	0.170804
198.8	0.171089
199.2	0.171127
199.6	0.171147
200	0.171135
200.4	0.171041
200.8	0.171114
201.2	0.171048
201.6	0.171088
202	0.17116
202.4	0.171115
202.8	0.171147
203.2	0.171126
203.6	0.171063
204	0.171087
204.4	0.171022
204.8	0.171048
205.2	0.17103
205.6	0.171068
206	0.171058
206.4	0.171054
206.8	0.171039
207.2	0.171023
207.6	0.171017
208	0.171029
208.4	0.171014
208.8	0.170994
209.2	0.170874
209.6	0.170973
210	0.170953
210.4	0.170986
210.8	0.1709
211.2	0.170825
211.6	0.170942
212	0.170965
212.4	0.170965
212.8	0.170943
213.2	0.170968
213.6	0.170953
214	0.170933
214.4	0.170904
214.8	0.170952
215.2	0.170891
215.6	0.170963
216	0.170954
216.4	0.170931
216.8	0.170948
217.2	0.17092
217.6	0.170918
218	0.170901
218.4	0.170901
218.8	0.170905
219.2	0.170886
219.6	0.170896
220	0.170855
220.4	0.170897
220.8	0.170905
221.2	0.17088
221.6	0.170879
222	0.17089
222.4	0.170873
222.8	0.170899
223.2	0.170883
223.6	0.170877
224	0.170853
224.4	0.170894
224.8	0.170864
225.2	0.170837
225.6	0.170847
226	0.170835
226.4	0.17084
226.8	0.17084
227.2	0.170833
227.6	0.170854
228	0.170844
228.4	0.170869
228.8	0.170762
229.2	0.170555
229.6	0.170844
230	0.170738
230.4	0.170718
230.8	0.170807
231.2	0.170726
231.6	0.170716
232	0.170676
232.4	0.17083
232.8	0.170745
233.2	0.170789
233.6	0.170671
234	0.170777
234.4	0.170652
234.8	0.170539
235.2	0.170353
235.6	0.170555
236	0.170619
236.4	0.170607
236.8	0.17064
237.2	0.170608
237.6	0.170669
238	0.170663
238.4	0.170704
238.8	0.170661
239.2	0.170692
239.6	0.170689
240	0.170606
240.4	0.170455
240.8	0.17045
241.2	0.170426
241.6	0.170456
242	0.170417
242.4	0.170177
242.8	0.170266
243.2	0.170171
243.6	0.170121
244	0.170166
244.4	0.170195
244.8	0.170169
245.2	0.170158
245.6	0.170149
246	0.170243
246.4	0.170344
246.8	0.170304
247.2	0.170414
247.6	0.17042
248	0.170406
248.4	0.170336
248.8	0.170369
249.2	0.170259
249.6	0.170301
250	0.170134
250.4	0.170286
250.8	0.170419
251.2	0.17048
251.6	0.170062
252	0.170291
252.4	0.170464
252.8	0.170429
253.2	0.170427
253.6	0.17037
254	0.170362
254.4	0.17016
254.8	0.170334
255.2	0.170322
255.6	0.17032
256	0.170466
256.4	0.170438
256.8	0.170398
257.2	0.170392
257.6	0.170292
258	0.170473
258.4	0.170441
258.8	0.170346
259.2	0.170432
259.6	0.170473
260	0.170464
260.4	0.170267
260.8	0.170407
261.2	0.170433
261.6	0.170343
262	0.170354
262.4	0.170327
262.8	0.170406
263.2	0.170381
263.6	0.170331
264	0.170419
264.4	0.170382
264.8	0.170303
265.2	0.170246
265.6	0.170138
266	0.170098
266.4	0.170075
266.8	0.170041
267.2	0.170016
267.6	0.169994
268	0.170128
268.4	0.169969
268.8	0.169901
269.2	0.169927
269.6	0.16998
270	0.170049
270.4	0.169999
